"","case_number","recalled","recalled_log","recovered","date","month","month_name","Season","year","species","reason","recall_class","summary","dup","rec_text","recovered_text","recovered_log","Pr_recov","Pr_recov_log","year_n"
"118","005-2014",67113,4.82681312357503,18997,"1/17/14",1,"January","Winter",2014,"pork","Listeria","Class I",TRUE,FALSE,"67113","18997",4.27870788333798,0.283059913876596,-0.54810524023705,20
"119","004-2014",130000,5.11394669302077,11852,"1/17/14",1,"January","Winter",2014,"mixed","Undeclared Allergen","Class II",TRUE,FALSE,"130000","11852",4.07382828440111,0.0911692307692308,-1.04011840861966,20
"120","006-2014",1770000,6.24797351172585,339814,"1/19/14",1,"January","Winter",2014,"beef","Undeclared Allergen","Class II",TRUE,FALSE,"1770000","339814",5.53124254543782,0.191985310734463,-0.716730966288034,20
"121","007-2014",1250000,6.0969103604435,154110,"1/27/14",1,"January","Winter",2014,"poultry","Undeclared Allergen","Class II",TRUE,FALSE,"1250000","154110",5.18783363851598,0.123288,-0.909076721927523,20
"122","008-2014",2446,3.38863396935179,NA,"1/30/14",1,"January","Winter",2014,"poultry","Undeclared Allergen","Class I",TRUE,FALSE,"2446",NA,NA,NA,NA,20
"123","009-2014",144000,5.15836550801868,1804,"2/1/14",2,"February","Winter",2014,"mixed","Undeclared Allergen","Class II",TRUE,FALSE,"144000","1804",3.25647720624168,0.0125277777777778,-1.901888301777,20
"124","011-2014",54673,4.73778084843663,27068,"2/4/14",2,"February","Winter",2014,"poultry","Undeclared Allergen","Class I",TRUE,FALSE,"54673","27068",4.43247221208732,0.495088983593364,-0.30530863634931,20
"125","010-2014",15865,4.20046744995016,NA,"2/4/14",2,"February","Winter",2014,"beef","STEC","Class I",TRUE,FALSE,"15865",NA,NA,NA,NA,20
"126","013-2014",8742700,6.94164562578968,NA,"2/8/14",2,"February","Winter",2014,"beef","Other","Class I",TRUE,FALSE,"8742700",NA,NA,NA,NA,20
"127","012-2014",365,2.56348108539441,NA,"2/8/14",2,"February","Winter",2014,"beef","Processing Defect","Class I",TRUE,FALSE,"365",NA,NA,NA,NA,20
"128","014-2014",90000,4.95424733490676,65000,"2/11/14",2,"February","Winter",2014,"beef","Undeclared Allergen","Class II",TRUE,FALSE,"90000","65000",4.81292003804503,0.722222222222222,-0.141327296861732,20
"129","015-2014",309594,5.49079393815445,NA,"2/15/14",2,"February","Winter",2014,"poultry","Salmonella","Class I",TRUE,FALSE,"309594",NA,NA,NA,NA,20
"130","016-2014",8895,3.94919477423798,1440,"2/22/14",2,"February","Winter",2014,"mixed","Other","Class II",TRUE,FALSE,"8895","1440",3.15866398081399,0.161888701517707,-0.790530793423993,20
"131","017-2014",1282,3.10822665637493,4362,"2/26/14",2,"February","Winter",2014,"mixed","Other","Class I",TRUE,FALSE,"1282","4362",3.63978521298682,3.40249609984399,0.531558556611892,20
"132","018-2014",29200,4.46539772429244,800,"3/7/14",3,"March","Winter",2014,"poultry","Undeclared Allergen","Class I",TRUE,FALSE,"29200","800",2.90363251608424,0.0273972602739726,-1.56176520820821,20
