,case_number,recalled,recalled_log,recovered,date,month,month_name,Season,year,species,reason,recall_class,summary,dup
218,010-2013,1200,3.079543007,2603,1/25/13,1,January,Winter,2013,poultry,Extraneous Material,Class I,TRUE,FALSE
219,011-2013,213,2.330413773,NA,1/28/13,1,January,Winter,2013,beef,Undeclared Allergen,Class II,TRUE,FALSE
220,012-2013,1260,3.100715087,942,1/30/13,1,January,Winter,2013,beef,STEC,Class I,TRUE,FALSE
221,013-2013,685,2.836324116,NA,1/31/13,1,January,Winter,2013,mixed,Undeclared Allergen,Class II,TRUE,FALSE
222,014-2013,4454,3.648847708,1534,2/2/13,2,February,Winter,2013,mixed,Undeclared Allergen,Class I,TRUE,FALSE
223,015-2013,15328,4.185513824,20680,2/8/13,2,February,Winter,2013,beef,Extraneous Material,Class I,TRUE,FALSE
224,016-2013,315,2.499687083,217,2/14/13,2,February,Winter,2013,beef,Listeria,Class I,TRUE,FALSE
225,017-2013,38000,4.579795025,15102,2/21/13,2,February,Winter,2013,pork,Extraneous Material,Class II,TRUE,FALSE
226,018-2013,8424,3.92556991,2281,2/27/13,2,February,Winter,2013,poultry,Extraneous Material,Class II,TRUE,FALSE
227,019-2013,6586,3.818687663,3417,3/2/13,3,March,Winter,2013,pork,Other,Class I,TRUE,FALSE
228,020-2013,25000,4.39795738,25137,3/6/13,3,March,Winter,2013,mixed,Undeclared Allergen,Class II,TRUE,FALSE
